Name,ORCID,Status,Notes
Aashish Gupta,0000-0002-1522-1119,Verified,Associate & Affiliate Members
Alice Reid,0000-0003-4713-2951,Verified,Associate Member
Andrew Stephen,,Ignore,Associate Member
Antonino Polizzi,0000-0001-9169-8608,Verified,Alumni
Ava Keeling,0009-0000-9665-7864,Verified,"DPhil Student (ORCID found via publication metadata, not linked from Oxford profile)"
Ben Elbers,0000-0001-5392-3448,Verified,Alumni
Bent Nielsen,0000-0002-1567-4652,Verified,Associate Member
Bo Zhao,0000-0002-3799-9183,Verified,Alumni
Casey Breen,0000-0003-3702-4746,Verified,Alumni
Cecilia Lindgren,0000-0002-4903-9374,Verified,Associate Member
Charles Lanfear,0000-0001-5712-757X,Verified,Alumni
Daniela Urbina,0000-0003-4358-3843,Verified,Alumni
David Brazel,0000-0001-5361-2498,Verified,Alumni
David Kirk,0000-0003-0037-4291,Verified,Associate Member
Fleur Meddens,,Ignore,Alumni
Gaia Ghirardi,0000-0001-7680-0627,Verified,Associate & Affiliate Members
Ginevra Floridi,0000-0003-1417-2631,Verified,Alumni
Giovanni Scotti Bentivoglio,0009-0004-8381-6079,Verified,Associate & Affiliate Members
Hampton Gaddy,0000-0001-6397-4679,Verified,Associate & Affiliate Members
Hamza Shams,,Ignore,Grants and Centre Manager (Professional Services)
Hannaliis Jaadla,0000-0002-8569-347X,Verified,Associate & Affiliate Members
Ilya Kashnitsky,0000-0003-1835-8687,Verified,Associate & Affiliate Members
Jiaxin Shi,0000-0002-6929-484X,Verified,Alumni
Jorden Jackson,0000-0002-1785-2862,Verified,Postdoctoral Researcher (Oxford profile has no ORCID link)
Joseph Millard,0000-0002-3025-3565,Verified,Alumni
Katarzyna Doniec,0009-0009-1768-641X,Verified,Alumni
Kayla Schulte,0000-0002-5952-1586,Verified,Alumni
Louise Allcock,,Ignore,Centre Administrator and PA to the Director (Professional Services)
Maria Gargiulo,0000-0003-1870-8990,Verified,Associate & Affiliate Members
Mark Verhagen,0000-0003-2746-0309,Verified,Associate & Affiliate Members
Max Roser,0000-0003-4524-8432,Verified,Associate Member
Mobarak Hossain,0000-0002-1042-7388,Verified,Alumni
Monica Alexander,0000-0002-8135-3435,Verified,Associate Member
Orestes P. Hastings,0000-0001-5833-7034,Verified,Associate & Affiliate Members
Oriol Bosch Jover,0000-0001-6057-8179,Verified,Alumni
Pablo Geraldo Bastías,0000-0001-8352-9679,Verified,Associate Researcher (Oxford profile has no ORCID link)
Prashant Poddar,0000-0003-3494-5320,Verified,Postdoctoral Fellow (Oxford profile has no ORCID link)
Riley Taiji,0000-0002-1475-4490,Verified,Alumni
Mingyue Liu,0009-0000-1188-2393,Verified,Data Scientist (Oxford profile has no ORCID link)
Simon Myers,0000-0002-2585-9626,Verified,Associate Member
Tobias Rüttenauer,0000-0001-5747-9735,Verified,Alumni
Wenlan Zhang,,Ignore,Research Assistant (Oxford profile has no ORCID link; multiple ORCID matches exist)
Xiang Ao,0009-0009-0893-379X,Verified,Research Assistant (Oxford profile has no ORCID link; multiple ORCID matches exist)
Xinyi Zhao,0000-0002-2552-7795,Verified,DPhil Student
Yan Liu,,Ignore,DPhil Student
Yao Fu (Cici),0009-0002-6138-1874,Verified,"Candidate ORCID record found, but not linked from Oxford profile"
Aasli Abdi Nur,0000-0003-2856-0176,Verified,Postdoctoral Fellow
Andrea Aparicio Castro,0000-0001-6498-7025,Verified,Senior Research Fellow
Andrea Tilstra,0000-0001-7622-9088,Verified,Senior Researcher
Arun Frey,0000-0002-5044-1432,Verified,Alumni / Postdoc
Augustine Kong,0000-0001-8193-5438,Verified,Professor
Bastian Betthäuser,0000-0002-4544-4073,Verified,Alumni (Sciences Po)
